PLAYERID,PLAYER_SLUG,WEAKNESSES
869931,yvan-neyou,Discipline
873947,dani-raba,Ball control
885259,enric-franquesa,Long balls
592098,jorge-saenz,Long balls
992397,aritz-arambarri,Long balls
845168,amath-ndiaye,Ball control
793761,mamadou-sylla,Ball control
1133063,akinsola-babatunde,Ball control
801211,amallah-selim,Aerial duels
801211,amallah-selim,Discipline
970860,lucas-rosa,Long balls
353262,jon-bautista,Passing
353262,jon-bautista,Ball control
566894,stoichkov,Passing
566894,stoichkov,Ball control
566894,stoichkov,Penalty taking
866626,yanis-rahmani,Ball control
851226,juan-berrocal,Discipline
345193,chema,Discipline
345193,chema,Passing
1164965,cristian-gutierrez,Long balls
1010772,sergio-cubero,Long balls
66471,martin-braithwaite,Ball control
175185,pere-milla,Ball control
175185,pere-milla,Passing
891511,javi-puado,Ball control
1019236,jofre,Ball control
1064026,omar-el-hilali,Discipline
857205,fernando-calero,Discipline
1021165,sanchez-saez-ruben,Long balls
796512,juan-otero,Ball control
891959,uros-milovanovic,Ball control
966295,victor-campuzano,Aerial duels
966295,victor-campuzano,Ball control
981604,alemao,Passing
950142,samuel-obeng,Ball control
1092984,paraschiv-daniel,Passing
1092984,paraschiv-daniel,Ball control
1010550,alex-millan,Aerial duels
1473201,masca,Ball control
362772,sebas-moyano,Ball control
1084464,juan-carlos-arana,Ball control
1084464,juan-carlos-arana,Aerial duels
966957,ekain-zenitagoia,Aerial duels
966957,ekain-zenitagoia,Passing
50730,lago-junior,Ball control
1010420,aritz-aldasoro,Discipline
949459,inigo-sainz-maza,Discipline
351086,saul-garcia,Long balls
914527,moreno-pol,Long balls
1010792,alvaro-mantilla,Passing
942111,mohamed-bouldini,Passing
975351,fabricio-santos,Ball control
1014042,ivan-romero,Ball control
909554,roger-brugue,Ball control
1016019,fernando-nino,Ball control
1016019,fernando-nino,Passing
826655,curro,Ball control
943253,espiau-eduardo,Passing
943253,espiau-eduardo,Ball control
943253,espiau-eduardo,Finishing
1394064,javi-lopez-pinto,Discipline
83687,alvaro-gimenez,Ball control
900005,christian-borrego,Ball control
795726,aitor-bunuel,Long balls
1100964,puric-aleksa,Error proneness
909061,david-castro,Discipline
1010891,mourad-el-ghezouani,Ball control
962411,nicolas-fernandez,Aerial duels
48751,mario-gaspar,Long balls
1068891,jose-salinas,Long balls
52093,angel-rodriguez,Aerial duels
923823,mohammed-dauda,Discipline
849573,enric-gallego,Ball control
849573,enric-gallego,Ground duels
849573,enric-gallego,Passing
1007853,jorge-padilla,Discipline
966526,luismi-cruz,Discipline
83305,aitor-sanz,Discipline
914123,sergio-gonzalez,Discipline
874586,jose-amo,Discipline
974109,jovanny-bolivar,Finishing
263493,higinio-marin,Ball control
263493,higinio-marin,Passing
882586,dani-escriche,Ball control
882586,dani-escriche,Finishing
882586,dani-escriche,Passing
950110,riki-rodriguez,Aerial duels
592068,agus-medina,Aerial duels
592068,agus-medina,Ball control
913214,isaac-carlos,Long balls
1085242,juan-maria-alcedo,Long balls
52126,alfredo-ortuno,Passing
52126,alfredo-ortuno,Ball control
131394,damian-musto,Discipline
177931,juan-carlos,Ball control
106272,sergi-enrich,Passing
1000696,ivan-azon-monzon,Ball control
804170,sabin-merino,Aerial duels
804170,sabin-merino,Ball control
949456,mario-soberon,Ball control
949456,mario-soberon,Ground duels
949456,mario-soberon,Aerial duels
759284,quentin-lecoeuche,Long balls
826216,gaetan-poussin,Error proneness
218518,juanto-ortuno,Ball control
1084416,joel-jorquera,Ball control
826012,ivan-chapela,Ball control
73682,dario-djumic,Passing
73682,dario-djumic,Long balls
73682,dario-djumic,Discipline
892169,derick-poloni,Long balls
892169,derick-poloni,Passing
850579,inigo-sebastian-magana,Long balls
904964,joaquin-munoz,Ball control
904964,joaquin-munoz,Finishing
349762,gerard-valentin,Passing
912047,oscar-sielva,Discipline
69385,jorge-pulido,Discipline
1010413,toni-abad,Long balls
1130516,pablo-tomeo,Passing
926418,eneko-jauregi,Ball control
333145,ryan-edwards,Passing
333145,ryan-edwards,Aerial duels
867780,josue-dorrio,Ball control
867780,josue-dorrio,Aerial duels
862696,rodriguez-rayco,Ball control
588572,unai-bustinza,Discipline
826008,jorge-mier,Long balls
1398529,addai-emmanuel,Finishing
1031543,jacobo-gonzalez,Ball control
1031543,jacobo-gonzalez,Passing
839560,josiel-nunez,Discipline
966300,iago-lopez-carracedo,Discipline
957890,castilla-joan-rojas,Discipline
1470379,calvo-alex,Ball control
914048,alex-petxa,Discipline
1142261,espigares-antonio,Discipline
1396056,rando-abraham,Discipline
944656,julian-alvarez,Aerial duels
859765,phil-foden,Aerial duels
1003334,james-mcatee,Aerial duels
991591,karl-hein,Error proneness
159665,mohamed-salah,Aerial duels
159665,mohamed-salah,Ball control
924871,darwin-nunez,Passing
606164,diogo-jota,Ball control
991604,fabio-carvalho,Ball control
1008402,bradley-conor,Ball control
555386,ollie-watkins,Ball control
993451,cameron-archer,Aerial duels
993451,cameron-archer,Ball control
998832,lewis-dobbin,Ball control
948261,morgan-rogers,Aerial duels
976263,ian-maatsen,Aerial duels
111505,heung-min-son,Aerial duels
840217,richarlison,Passing
840217,richarlison,Ball control
1085180,brennan-johnson,Aerial duels
1116987,alejo-veliz,Ball control
928124,dejan-kulusevski,Ball control
844842,yves-bissouma,Discipline
858195,sergio-reguilon,Discipline
1134744,ashley-phillips,Long balls
1090458,david-datro-fofana,Aerial duels
1090458,david-datro-fofana,Ball control
138534,raheem-sterling,Ball control
1087359,renato-veiga,Discipline
885908,reece-james,Discipline
823941,alexander-isak,Aerial duels
914902,gordon-anthony,Aerial duels
113956,callum-wilson,Ball control
1169124,garang-kuol,Ball control
560128,joelinton,Discipline
855647,harvey-barnes,Ball control
99090,dan-burn,Long balls
865167,lloyd-kelly,Long balls
891803,jamal-lewis,Long balls
1086417,rasmus-hojlund,Aerial duels
1086417,rasmus-hojlund,Ball control
122951,casemiro,Discipline
1135873,alejandro-garnacho,Aerial duels
958380,antony,Aerial duels
47772,michail-antonio,Ball control
47772,michail-antonio,Passing
905163,mohammed-kudus,Aerial duels
552884,jarrod-bowen,Ball control
847151,edson-alvarez,Discipline
138024,vladimir-coufal,Long balls
187861,wesley-foderingham,Error proneness
103045,jordan-ayew,Ball control
795228,odsonne-edouard,Ball control
795228,odsonne-edouard,Aerial duels
848276,jean-philippe-mateta,Ball control
794338,daichi-kamada,Aerial duels
148710,jeffrey-schlupp,Long balls
1064218,chadi-riad,Long balls
870360,daniel-munoz,Discipline
793228,rob-holding,Error proneness
988275,tyrick-mitchell,Long balls
39183,joel-ward,Long balls
1400106,minteh-yankuba,Passing
1029018,abdallah-sima,Passing
1029018,abdallah-sima,Ball control
1471095,osman-ibrahim,Ball control
1152449,adrian-mazilu,Ball control
1117025,facundo-buonanotte,Aerial duels
361420,dominic-solanke,Ball control
336655,enes-unal,Passing
298366,kieffer-moore,Passing
1096136,daniel-jebbison,Finishing
1096136,daniel-jebbison,Ball control
1106451,dango-ouattara,Long balls
1106451,dango-ouattara,Passing
934354,antoine-semenyo,Ball control
851596,justin-kluivert,Ball control
895576,marcus-tavernier,Aerial duels
44566,adam-smith,Long balls
192442,raul-jimenez,Passing
192442,raul-jimenez,Ball control
1015256,rodrigo-muniz,Ball control
891920,carlos-vinicius,Aerial duels
1013987,jay-stansfield,Aerial duels
1013987,jay-stansfield,Passing
1013987,jay-stansfield,Ball control
285949,andreas-pereira,Aerial duels
227900,kevin-mbabu,Ball control
786186,hee-chan-hwang,Aerial duels
886363,matheus-cunha,Aerial duels
954076,fabio-silva,Ball control
954076,fabio-silva,Passing
876599,jorgen-strand-larsen,Ball control
876599,jorgen-strand-larsen,Passing
1015267,joao-gomes,Discipline
252821,nelson-semedo,Long balls
307284,mario-lemina,Discipline
845273,jean-ricner-bellegarde,Aerial duels
1006073,gomes-rodrigo,Ball control
1015826,chiquinho,Discipline
1015826,chiquinho,Ball control
1014835,yerson-mosquera,Discipline
973418,toti-gomes,Long balls
914309,iliman-ndiaye,Aerial duels
372344,dominic-calvert-lewin,Passing
372344,dominic-calvert-lewin,Ball control
987489,beto,Ball control
96535,abdoulaye-doucoure,Aerial duels
1145627,youssef-chermiti,Ground duels
1145627,youssef-chermiti,Ball control
268903,neal-maupay,Aerial duels
829570,jack-harrison,Ball control
829570,jack-harrison,Aerial duels
829570,jack-harrison,Long balls
10589,ashley-young,Long balls
76632,seamus-coleman,Long balls
781544,mason-holgate,Long balls
781544,mason-holgate,Discipline
930666,joao-virginia,Error proneness
290927,ivan-toney,Ball control
290927,ivan-toney,Passing
927083,bryan-mbeumo,Ball control
1016907,igor-thiago,Ball control
1006387,kevin-schade,Ball control
826057,mads-roerslev,Passing
826057,mads-roerslev,Long balls
980649,myles-peart-harris,Ball control
1177007,ryan-trevitt,Ball control
1064630,finley-stevens,Long balls
1065525,matthew-cox,Error proneness
979232,anthony-elanga,Aerial duels
359664,taiwo-awoniyi,Ball control
359664,taiwo-awoniyi,Aerial duels
844424,emmanuel-dennis,Ball control
50480,chris-wood,Passing
791314,ui-jo-hwang,Aerial duels
927356,williams-neco,Long balls
139310,willy-boly,Long balls
358218,harry-toffolo,Long balls
920542,adebayo-elijah,Passing
920542,adebayo-elijah,Ground duels
920542,adebayo-elijah,Ball control
358222,carlton-morris,Passing
140487,cauley-woodrow,Aerial duels
879366,john-mcatee,Aerial duels
1152874,joe-taylor,Ground duels
1152874,joe-taylor,Aerial duels
1152874,joe-taylor,Ball control
825845,tahith-chong,Ball control
150477,jordan-clark,Ball control
372342,reece-burke,Long balls
18154,tim-krul,Error proneness
990550,zeki-amdouni,Ball control
990550,zeki-amdouni,Aerial duels
901907,foster-lyle,Passing
901907,foster-lyle,Ball control
901907,foster-lyle,Aerial duels
921216,michael-obafemi,Ball control
26989,jay-rodriguez,Passing
981805,costelloe-dara,Ball control
981805,costelloe-dara,Aerial duels
981805,costelloe-dara,Finishing
826183,mike-tresor,Ball control
1131448,cj-egan-riley,Error proneness
1131448,cj-egan-riley,Discipline
1117223,maxime-esteve,Long balls
1117223,maxime-esteve,Discipline
888971,arijanet-muric,Error proneness
878705,rhian-brewster,Finishing
1099792,benie-traore,Ball control
1122603,osula-william,Ball control
1122603,osula-william,Aerial duels
1006147,anis-ben-slimane,Ball control
1006147,anis-ben-slimane,Aerial duels
929132,bogle-jayden,Long balls
929132,bogle-jayden,Passing
929132,bogle-jayden,Ball control
825899,anel-ahmedhodzic,Long balls
825899,anel-ahmedhodzic,Discipline
822459,auston-trusty,Long balls
1133697,curtis-sam,Discipline
1133697,curtis-sam,Long balls
98454,jack-robinson,Long balls
952461,sam-mccallum,Long balls
952461,sam-mccallum,Passing
865057,patson-daka,Aerial duels
605338,stephy-mavididi,Ball control
151499,bobby-decordova-reid,Aerial duels
1065134,kasey-mcateer,Ball control
991584,luke-thomas,Long balls
1010010,ali-al-hamadi,Ball control
1010010,ali-al-hamadi,Aerial duels
997087,liam-delap,Ball control
839712,george-hirst,Ball control
839712,george-hirst,Ground duels
784625,conor-chaplin,Aerial duels
911710,nathan-broadhead,Ball control
305302,wes-burns,Ball control
963493,leif-davis,Ball control
981470,ndaba-corrie,Passing
981470,ndaba-corrie,Long balls
946695,rutter-georginio,Passing
946695,rutter-georginio,Ball control
850823,joel-piroe,Aerial duels
945806,joe-gelhardt,Aerial duels
254713,sam-byram,Long balls
295123,paul-onuachu,Passing
295123,paul-onuachu,Ball control
361352,adam-armstrong,Ball control
1131449,shea-charles,Discipline
970435,will-smallbone,Aerial duels
852145,josh-maja,Aerial duels
846061,brandon-thomas-asante,Aerial duels
846061,brandon-thomas-asante,Ball control
846061,brandon-thomas-asante,Passing
190863,john-swift,Aerial duels
873627,ousmane-diakite,Discipline
231646,jed-wallace,Aerial duels
231646,jed-wallace,Ball control
1083026,tom-fellows,Aerial duels
786022,darnell-furlong,Long balls
197982,conor-townsend,Long balls
880796,josh-sargent,Ball control
1014801,marcelino-nunez,Aerial duels
992567,borja-sainz,Ball control
992567,borja-sainz,Discipline
1087476,kamara-abu,Passing
837846,jacob-lungi-sorensen,Long balls
583450,jack-stacey,Long balls
1014209,jonathan-tomkinson,Long balls
1014209,jonathan-tomkinson,Passing
1014461,jaden-philogene-bidace,Aerial duels
796114,dogukan-sinik,Ball control
931304,ryan-giles,Long balls
1019090,andy-smith,Passing
1019090,andy-smith,Long balls
1008256,lo-tutala-thimothee,Discipline
1066809,matthew-hoppe,Ball control
848074,emmanuel-latte-lath,Passing
848074,emmanuel-latte-lath,Ball control
914276,delano-burgzorg,Ball control
1010009,josh-coburn,Ball control
1007056,isaiah-jones,Ball control
818391,haji-wright,Ball control
991614,ellis-simms,Ground duels
991614,ellis-simms,Ball control
991614,ellis-simms,Passing
979565,jack-rudoni,Ball control
791985,dasilva-jay,Aerial duels
958725,jack-burroughs,Long balls
958725,jack-burroughs,Passing
310546,jamie-allen,Aerial duels
1033352,thomas-bobby,Long balls
103115,jake-bidwell,Long balls
921006,liam-kitching,Discipline
928047,milutin-osmajic,Aerial duels
928047,milutin-osmajic,Ball control
98431,will-keane,Aerial duels
920597,emil-riis-jacobsen,Aerial duels
920597,emil-riis-jacobsen,Ball control
31761,ched-evans,Ball control
267621,robbie-brady,Passing
361322,ryan-ledson,Passing
845941,jordan-storey,Long balls
78368,andrew-hughes,Long balls
1104987,tommy-conway,Aerial duels
145182,nahki-wells,Aerial duels
351496,harry-cornick,Aerial duels
1007072,anis-mehmeti,Aerial duels
1007072,anis-mehmeti,Long balls
1007072,anis-mehmeti,Ball control
560196,mark-sykes,Long balls
560196,mark-sykes,Ball control
1517418,josh-stokes,Aerial duels
1517418,josh-stokes,Error proneness
1517418,josh-stokes,Discipline
802697,robert-dickie,Long balls
795828,ross-mccrorie,Long balls
980635,haydon-roberts,Long balls
909763,cameron-pring,Long balls
927367,tanner-george,Long balls
352922,yakou-meite,Ball control
1005908,isaak-davies,Aerial duels
1005908,isaak-davies,Ball control
557614,ebou-adams,Discipline
557614,ebou-adams,Long balls
1018684,joel-bagan,Discipline
1018684,joel-bagan,Long balls
325583,mahlon-romeo,Long balls
909908,macaulay-langstaff,Ball control
59130,tom-bradshaw,Passing
59130,tom-bradshaw,Ball control
59130,tom-bradshaw,Aerial duels
240256,duncan-watmore,Ball control
240256,duncan-watmore,Aerial duels
789859,george-honeyman,Aerial duels
1398540,adam-mayor,Passing
1398540,adam-mayor,Long balls
1398540,adam-mayor,Aerial duels
836693,japhet-tanganga,Discipline
892397,wes-harding,Long balls
995670,mcnamara-danny,Long balls
111398,ryan-leonard,Long balls
111398,ryan-leonard,Passing
1123234,ronald,Ball control
1123234,ronald,Aerial duels
1006994,cullen-liam,Aerial duels
984866,goncalo-franco,Ball control
992651,tjoe-a-on-nathan,Long balls
773591,kristian-pedersen,Long balls
830238,josh-tymon,Aerial duels
930251,josh-key,Long balls
796455,bayo-vakoun-issouf,Ball control
833030,kalu-samuel,Finishing
122663,thomas-ince,Ball control
1130918,shaqai-forde,Aerial duels
1130918,shaqai-forde,Ball control
805096,francisco-sierralta,Long balls
889776,porteous-ryan,Discipline
959208,matthew-pollock,Long balls
1461597,andrews-ryan,Long balls
1461597,andrews-ryan,Aerial duels
1461597,andrews-ryan,Passing
1115751,luis-semedo,Finishing
921005,jack-clarke,Aerial duels
1094440,mundle-romaine,Ball control
1097848,leo-fuhr-hjelde,Long balls
934228,ajibola-joshua-alese,Long balls
993434,anderson-joseph,Discipline
993434,anderson-joseph,Passing
993434,anderson-joseph,Long balls
826138,niall-ennis,Ball control
826138,niall-ennis,Aerial duels
851222,mehdi-leris,Ball control
1185869,bae-jun-ho,Aerial duels
961677,million-manhoef,Ball control
961677,million-manhoef,Aerial duels
1093070,junior-tchamadeu,Passing
1087795,nikola-jojic,Aerial duels
842335,andre-vidigal,Ball control
842335,andre-vidigal,Aerial duels
1017684,eric-bocat,Long balls
800976,jordan-thompson,Discipline
372324,enda-stevens,Discipline
846204,lyndon-dykes,Ball control
846204,lyndon-dykes,Passing
40686,jack-colback,Discipline
842562,paul-smyth,Aerial duels
842562,paul-smyth,Passing
1470252,bennie-daniel,Ball control
285997,kenneth-paal,Long balls
362704,sam-gallagher,Passing
362704,sam-gallagher,Ball control
994995,jack-vale,Aerial duels
994995,jack-vale,Ball control
1063015,tyrhys-dolan,Aerial duels
845571,harry-pickering,Long balls
129118,kyle-mcfadzean,Discipline
1104437,charlie-mcneill,Aerial duels
257433,jamal-lowe,Ball control
257433,jamal-lowe,Aerial duels
257433,jamal-lowe,Passing
979473,anthony-musaba,Aerial duels
979473,anthony-musaba,Ball control
340621,josh-windass,Aerial duels
112761,michael-smith,Passing
112761,michael-smith,Ground duels
112761,michael-smith,Ball control
250211,callum-paterson,Passing
250211,callum-paterson,Ball control
250211,callum-paterson,Long balls
1423747,bailey-cadamarteri,Ball control
1423747,bailey-cadamarteri,Aerial duels
355154,max-lowe,Passing
355154,max-lowe,Long balls
222188,marvin-johnson,Long balls
222188,marvin-johnson,Passing
801483,svante-ingelsson,Ball control
801483,svante-ingelsson,Passing
104857,liam-palmer,Long balls
893065,pol-valentin,Long balls
893065,pol-valentin,Passing
893065,pol-valentin,Aerial duels
990222,morgan-whittaker,Aerial duels
990222,morgan-whittaker,Ball control
547376,ryan-hardie,Passing
944481,ben-waine,Aerial duels
983596,muhamed-tijani,Ground duels
983596,muhamed-tijani,Ball control
908798,matthew-sorinola,Long balls
198030,brendan-galloway,Long balls
824751,dan-scarr,Discipline
796144,tyler-roberts,Finishing
336633,alfie-may,Aerial duels
336633,alfie-may,Ball control
20220,lukas-jutkiewicz,Passing
573812,krystian-bielik,Discipline
358984,koji-miyoshi,Ball control
788971,juninho-bacuna,Ball control
927363,laird-ethan,Long balls
927363,laird-ethan,Ball control
973785,lee-buchanan,Long balls
958578,bojan-radulovic,Ground duels
